Species,Port,Year,Month,Quantity,Value
Capelin,Akranes,1993,9,5768,27446
Capelin,Akranes,1993,10,6251,27664
Capelin,Akranes,1993,11,482,2120
Capelin,Akranes,1993,12,1349,6476
Capelin,Akranes,1994,1,1560,7022
Capelin,Akranes,1994,2,10100,53811
Capelin,Akranes,1994,3,12854,31547
Capelin,Akranes,1994,4,1929,6174
Capelin,Akranes,1994,5,0,0
Capelin,Akranes,1994,6,0,0
Capelin,Akranes,1994,7,7179,30467
Capelin,Akranes,1994,8,6453,28392
Capelin,Akranes,1994,9,1829,8050
Capelin,Akranes,1994,10,0,0
Capelin,Akranes,1994,11,75,374
Capelin,Akranes,1994,12,0,0
Capelin,Akranes,1995,1,0,0
Capelin,Akranes,1995,2,9285,48391
Capelin,Akranes,1995,3,17482,52801
Capelin,Akranes,1995,4,5692,19922
Capelin,Akranes,1995,5,0,0
Capelin,Akranes,1995,6,0,0
Capelin,Akranes,1995,7,4131,17655
Capelin,Akranes,1995,8,0,0
Capelin,Akranes,1995,9,0,0
Capelin,Akranes,1995,10,0,0
Capelin,Akranes,1995,11,9977,58811
Capelin,Akranes,1995,12,1302,7811
Capelin,Akranes,1996,1,0,0
Capelin,Akranes,1996,2,16867,98749
Capelin,Akranes,1996,3,16567,64783
Capelin,Akranes,1996,4,0,0
Capelin,Akranes,1996,5,0,0
Capelin,Akranes,1996,6,0,0
Capelin,Akranes,1996,7,10812,58385
Capelin,Akranes,1996,8,6127,33478
Capelin,Akranes,1996,9,3349,18421
Capelin,Akranes,1996,10,5155,29900
Capelin,Akranes,1996,11,0,0
Capelin,Akranes,1996,12,0,0
Capelin,Akranes,1997,1,0,0
Capelin,Akranes,1997,2,20050,113252
Capelin,Akranes,1997,3,20987,76979
Capelin,Akranes,1997,4,2510,10039
Capelin,Akranes,1997,5,0,0
Capelin,Akranes,1997,6,0,0
Capelin,Akranes,1997,7,20459,128110
Capelin,Akranes,1997,8,6793,43772
Capelin,Akranes,1997,9,0,0
Capelin,Akranes,1997,10,12565,96686
Capelin,Akranes,1997,11,7271,57447
Capelin,Akranes,1997,12,7696,65692
Capelin,Akranes,1998,1,0,0
Capelin,Akranes,1998,2,9104,68131
Capelin,Akranes,1998,3,21313,136438
Capelin,Akranes,1998,4,3827,20785
Capelin,Akranes,1998,5,0,0
Capelin,Akranes,1998,6,2610,18792
Capelin,Akranes,1998,7,17612,135616
Capelin,Akranes,1998,8,432,3625
Capelin,Akranes,1998,9,0,0
Capelin,Akranes,1998,10,2245,17961
Capelin,Akranes,1998,11,6153,49224
Capelin,Akranes,1998,12,3356,26847
Capelin,Akranes,1999,1,42740,174965
Capelin,Akranes,1999,2,0,0
Capelin,Akranes,1999,3,0,0
Capelin,Akranes,1999,4,0,0
Capelin,Akranes,1999,5,0,0
Capelin,Akranes,1999,6,0,0
Capelin,Akranes,1999,7,0,0
Capelin,Akranes,1999,8,0,0
Capelin,Akranes,1999,9,0,0
Capelin,Akranes,1999,10,0,0
Capelin,Akranes,1999,11,0,0
Capelin,Akranes,1999,12,0,0
Capelin,Akranes,2000,1,6677,33308
Capelin,Akranes,2000,2,17790,73911
Capelin,Akranes,2000,3,23584,70407
Capelin,Akranes,2000,4,0,0
Capelin,Akranes,2000,5,0,0
Capelin,Akranes,2000,6,0,0
Capelin,Akranes,2000,7,8824,39765
Capelin,Akranes,2000,8,0,0
Capelin,Akranes,2000,9,0,0
Capelin,Akranes,2000,10,0,0
Capelin,Akranes,2000,11,4606,22244
Capelin,Akranes,2000,12,0,0
Capelin,Akranes,2001,1,4514,25728
Capelin,Akranes,2001,2,22973,119031
Capelin,Akranes,2001,3,29750,115451
Capelin,Akranes,2001,4,223,826
Capelin,Akranes,2001,5,0,0
Capelin,Akranes,2001,6,2021,16239
Capelin,Akranes,2001,7,11625,90977
Capelin,Akranes,2001,8,0,0
Capelin,Akranes,2001,9,0,0
Capelin,Akranes,2001,10,0,0
Capelin,Akranes,2001,11,0,0
Capelin,Akranes,2001,12,1043,11477
Capelin,Akranes,2002,1,9793,99480
Capelin,Akranes,2002,2,20703,184300
Capelin,Akranes,2002,3,26264,162040
Capelin,Akranes,2002,4,0,0
Capelin,Akranes,2002,5,0,0
Capelin,Akranes,2002,6,3174,25025
Capelin,Akranes,2002,7,11091,86513
Capelin,Akranes,2002,8,0,0
Capelin,Akranes,2002,9,0,0
Capelin,Akranes,2002,10,0,0
Capelin,Akranes,2002,11,0,0
Capelin,Akranes,2002,12,3223,25784
Capelin,Akranes,2003,1,11198,86839
Capelin,Akranes,2003,2,16990,121564
Capelin,Akranes,2003,3,11539,61559
Capelin,Akranes,2003,4,0,0
Capelin,Akranes,2003,5,0,0
Capelin,Akranes,2003,6,3514,24859
Capelin,Akranes,2003,7,8468,59273
Capelin,Akranes,2003,8,0,0
Capelin,Akranes,2003,9,0,0
Capelin,Akranes,2003,10,0,0
Capelin,Akranes,2003,11,0,0
Capelin,Akranes,2003,12,0,0
Capelin,Akranes,2004,1,9454,68067
Capelin,Akranes,2004,2,21959,154169
Capelin,Akranes,2004,3,12267,59083
Capelin,Akranes,2004,4,0,0
Capelin,Akranes,2004,5,0,0
Capelin,Akranes,2004,6,0,0
Capelin,Akranes,2004,7,4986,39884
Capelin,Akranes,2004,8,0,0
Capelin,Akranes,2004,9,0,0
Capelin,Akranes,2004,10,0,0
Capelin,Akranes,2004,11,0,0
Capelin,Akranes,2004,12,189,1226
Capelin,Akranes,2005,1,1315,9071
Capelin,Akranes,2005,2,15734,94241
Capelin,Akranes,2005,3,12852,61528
Capelin,Akranes,2005,4,0,0
Capelin,Akranes,2005,5,0,0
Capelin,Akranes,2005,6,0,0
Capelin,Akranes,2005,7,0,0
Capelin,Akranes,2005,8,0,0
Capelin,Akranes,2005,9,0,0
Capelin,Akranes,2005,10,0,0
Capelin,Akranes,2005,11,0,0
Capelin,Akranes,2005,12,0,0
Capelin,Akranes,2006,1,0,0
Capelin,Akranes,2006,2,9671,62989
Capelin,Akranes,2006,3,259,1349
Capelin,Akranes,2006,4,0,0
Capelin,Akranes,2006,5,0,0
Capelin,Akranes,2006,6,0,0
Capelin,Akranes,2006,7,0,0
Capelin,Akranes,2006,8,0,0
Capelin,Akranes,2006,9,0,0
Capelin,Akranes,2006,10,0,0
Capelin,Akranes,2006,11,0,0
Capelin,Akranes,2006,12,0,0
Capelin,Akranes,2007,1,0,0
Capelin,Akranes,2007,2,14952,156450
Capelin,Akranes,2007,3,11521,105995
Capelin,Akranes,2007,4,0,0
Capelin,Akranes,2007,5,0,0
Capelin,Akranes,2007,6,0,0
Capelin,Akranes,2007,7,0,0
Capelin,Akranes,2007,8,0,0
Capelin,Akranes,2007,9,0,0
Capelin,Akranes,2007,10,0,0
Capelin,Akranes,2007,11,0,0
Capelin,Akranes,2007,12,0,0
Capelin,Akranes,2008,1,0,0
Capelin,Akranes,2008,2,2207,15446
Capelin,Akranes,2008,3,7924,55471
Capelin,Akranes,2008,4,0,0
Capelin,Akranes,2008,5,0,0
Capelin,Akranes,2008,6,0,0
Capelin,Akranes,2008,7,0,0
Capelin,Akranes,2008,8,0,0
Capelin,Akranes,2008,9,0,0
Capelin,Akranes,2008,10,0,0
Capelin,Akranes,2008,11,0,0
Capelin,Akranes,2008,12,0,0
Capelin,Akranes,2009,1,0,0
Capelin,Akranes,2009,2,0,0
Capelin,Akranes,2009,3,0,0
Capelin,Akranes,2009,4,0,0
Capelin,Akranes,2009,5,0,0
Capelin,Akranes,2009,6,0,0
Capelin,Akranes,2009,7,0,0
Capelin,Akranes,2009,8,0,0
Capelin,Akranes,2009,9,0,0
Capelin,Akranes,2009,10,0,0
Capelin,Akranes,2009,11,0,0
Capelin,Akranes,2009,12,0,0
Capelin,Akranes,2010,1,0,0
Capelin,Akranes,2010,2,6414,128288
Capelin,Akranes,2010,3,5813,116256
Capelin,Akranes,2010,4,0,0
Capelin,Akranes,2010,5,0,0
Capelin,Akranes,2010,6,0,0
Capelin,Akranes,2010,7,0,0
Capelin,Akranes,2010,8,0,0
Capelin,Akranes,2010,9,0,0
Capelin,Akranes,2010,10,0,0
Capelin,Akranes,2010,11,0,0
Capelin,Akranes,2010,12,0,0
Capelin,Akranes,2011,1,1907,55317
Capelin,Akranes,2011,2,17730,450882
Capelin,Akranes,2011,3,8296,180941
Capelin,Akranes,2011,4,0,0
Capelin,Akranes,2011,5,0,0
Capelin,Akranes,2011,6,0,0
Capelin,Akranes,2011,7,0,0
Capelin,Akranes,2011,8,0,0
Capelin,Akranes,2011,9,0,0
Capelin,Akranes,2011,10,0,0
Capelin,Akranes,2011,11,0,0
Capelin,Akranes,2011,12,0,0
Capelin,Akranes,2012,1,5981,149659
Capelin,Akranes,2012,2,19384,399431
Capelin,Akranes,2012,3,15923,257297
Capelin,Akranes,2012,4,0,0
Capelin,Akranes,2012,5,0,0
Capelin,Akranes,2012,6,0,0
Capelin,Akranes,2012,7,0,0
Capelin,Akranes,2012,8,0,0
Capelin,Akranes,2012,9,0,0
Capelin,Akranes,2012,10,0,0
Capelin,Akranes,2012,11,0,0
Capelin,Akranes,2012,12,0,0
Capelin,Akranes,2013,1,0,0
Capelin,Akranes,2013,2,8133,250051
Capelin,Akranes,2013,3,16752,393426
Capelin,Akranes,2013,4,0,0
Capelin,Akranes,2013,5,0,0
Capelin,Akranes,2013,6,0,0
Capelin,Akranes,2013,7,0,0
Capelin,Akranes,2013,8,0,0
Capelin,Akranes,2013,9,0,0
Capelin,Akranes,2013,10,0,0
Capelin,Akranes,2013,11,0,0
Capelin,Akranes,2013,12,0,0
Capelin,Akranes,2014,1,0,0
Capelin,Akranes,2014,2,5689,103730
Capelin,Akranes,2014,3,3691,63068
Capelin,Akranes,2014,4,0,0
Capelin,Akranes,2014,5,0,0
Capelin,Akranes,2014,6,0,0
Capelin,Akranes,2014,7,0,0
Capelin,Akranes,2014,8,0,0
Capelin,Akranes,2014,9,0,0
Capelin,Akranes,2014,10,0,0
Capelin,Akranes,2014,11,0,0
Capelin,Akranes,2014,12,0,0
Capelin,Akranes,2015,1,0,0
Capelin,Akranes,2015,2,10570,303247
Capelin,Akranes,2015,3,13187,267808
Capelin,Akranes,2015,4,0,0
Capelin,Akranes,2015,5,0,0
Capelin,Akranes,2015,6,0,0
Capelin,Akranes,2015,7,0,0
Capelin,Akranes,2015,8,0,0
Capelin,Akranes,2015,9,0,0
Capelin,Akranes,2015,10,0,0
Capelin,Akranes,2015,11,0,0
Capelin,Akranes,2015,12,0,0
Capelin,Akranes,2016,1,0,0
Capelin,Akranes,2016,2,0,0
Capelin,Akranes,2016,3,3587,74315
Capelin,Akranes,2016,4,0,0
Capelin,Akranes,2016,5,0,0
Capelin,Akranes,2016,6,0,0
Capelin,Akranes,2016,7,0,0
Capelin,Akranes,2016,8,0,0
Capelin,Akranes,2016,9,0,0
Capelin,Akranes,2016,10,0,0
Capelin,Akranes,2016,11,0,0
Capelin,Akranes,2016,12,0,0
Capelin,Akranes,2017,1,0,0
Capelin,Akranes,2017,2,1841,31461
Capelin,Akranes,2017,3,12720,206242
Capelin,Akranes,2017,4,0,0
Capelin,Akranes,2017,5,0,0
Capelin,Akranes,2017,6,0,0
Capelin,Akranes,2017,7,0,0
Capelin,Akranes,2017,8,0,0
