Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
2002,2.1  Aflahlutir,Samtals,22806
2002,2.1  Aflahlutir,Bátar undir 10 brl.,1505
2002,2.1  Aflahlutir,Bátar 10-200 brl.,2961
2002,2.1  Aflahlutir,Bátar > 200 brl.,3567
2002,2.1  Aflahlutir,Uppsjávarveiðiskip,3668
2002,2.1  Aflahlutir,Ísfisktogarar,2752
2002,2.1  Aflahlutir,Frystitogarar,8353
2002,2.2  Önnur laun,Samtals,6976
2002,2.2  Önnur laun,Bátar undir 10 brl.,1508
2002,2.2  Önnur laun,Bátar 10-200 brl.,576
2002,2.2  Önnur laun,Bátar > 200 brl.,1355
2002,2.2  Önnur laun,Uppsjávarveiðiskip,1109
2002,2.2  Önnur laun,Ísfisktogarar,860
2002,2.2  Önnur laun,Frystitogarar,1568
2002,2.3  Launatengd gjöld,Samtals,2632
2002,2.3  Launatengd gjöld,Bátar undir 10 brl.,266
2002,2.3  Launatengd gjöld,Bátar 10-200 brl.,312
2002,2.3  Launatengd gjöld,Bátar > 200 brl.,436
2002,2.3  Launatengd gjöld,Uppsjávarveiðiskip,423
2002,2.3  Launatengd gjöld,Ísfisktogarar,320
2002,2.3  Launatengd gjöld,Frystitogarar,876
2002,2.4  Olíur,Samtals,6724
2002,2.4  Olíur,Bátar undir 10 brl.,282
2002,2.4  Olíur,Bátar 10-200 brl.,489
2002,2.4  Olíur,Bátar > 200 brl.,868
2002,2.4  Olíur,Uppsjávarveiðiskip,1467
2002,2.4  Olíur,Ísfisktogarar,1144
2002,2.4  Olíur,Frystitogarar,2473
2002,2.5  Veiðarfæri,Samtals,3734
2002,2.5  Veiðarfæri,Bátar undir 10 brl.,203
2002,2.5  Veiðarfæri,Bátar 10-200 brl.,334
2002,2.5  Veiðarfæri,Bátar > 200 brl.,621
2002,2.5  Veiðarfæri,Uppsjávarveiðiskip,1073
2002,2.5  Veiðarfæri,Ísfisktogarar,444
2002,2.5  Veiðarfæri,Frystitogarar,1059
2002,2.6  Viðhald,Samtals,5958
2002,2.6  Viðhald,Bátar undir 10 brl.,459
2002,2.6  Viðhald,Bátar 10-200 brl.,630
2002,2.6  Viðhald,Bátar > 200 brl.,1062
2002,2.6  Viðhald,Uppsjávarveiðiskip,1193
2002,2.6  Viðhald,Ísfisktogarar,831
2002,2.6  Viðhald,Frystitogarar,1782
2002,2.7  Frystikostn. umbúðir og fl.,Samtals,681
2002,2.7  Frystikostn. umbúðir og fl.,Bátar undir 10 brl.,.
2002,2.7  Frystikostn. umbúðir og fl.,Bátar 10-200 brl.,.
2002,2.7  Frystikostn. umbúðir og fl.,Bátar > 200 brl.,.
2002,2.7  Frystikostn. umbúðir og fl.,Uppsjávarveiðiskip,.
2002,2.7  Frystikostn. umbúðir og fl.,Ísfisktogarar,.
2002,2.7  Frystikostn. umbúðir og fl.,Frystitogarar,681
2002,2.8  Flutningskostnaður,Samtals,381
2002,2.8  Flutningskostnaður,Bátar undir 10 brl.,142
2002,2.8  Flutningskostnaður,Bátar 10-200 brl.,43
2002,2.8  Flutningskostnaður,Bátar > 200 brl.,52
2002,2.8  Flutningskostnaður,Uppsjávarveiðiskip,45
2002,2.8  Flutningskostnaður,Ísfisktogarar,48
2002,2.8  Flutningskostnaður,Frystitogarar,52
2002,2.9  Laun v/skrifstofu,Samtals,1095
2002,2.9  Laun v/skrifstofu,Bátar undir 10 brl.,80
2002,2.9  Laun v/skrifstofu,Bátar 10-200 brl.,126
2002,2.9  Laun v/skrifstofu,Bátar > 200 brl.,82
2002,2.9  Laun v/skrifstofu,Uppsjávarveiðiskip,184
2002,2.9  Laun v/skrifstofu,Ísfisktogarar,235
2002,2.9  Laun v/skrifstofu,Frystitogarar,388
2002,2.10 Skrifst.kostnaður,Samtals,1481
2002,2.10 Skrifst.kostnaður,Bátar undir 10 brl.,260
2002,2.10 Skrifst.kostnaður,Bátar 10-200 brl.,177
2002,2.10 Skrifst.kostnaður,Bátar > 200 brl.,293
2002,2.10 Skrifst.kostnaður,Uppsjávarveiðiskip,212
2002,2.10 Skrifst.kostnaður,Ísfisktogarar,212
2002,2.10 Skrifst.kostnaður,Frystitogarar,328
2002,2.11  Tryggingar,Samtals,1214
2002,2.11  Tryggingar,Bátar undir 10 brl.,135
2002,2.11  Tryggingar,Bátar 10-200 brl.,181
2002,2.11  Tryggingar,Bátar > 200 brl.,178
2002,2.11  Tryggingar,Uppsjávarveiðiskip,266
2002,2.11  Tryggingar,Ísfisktogarar,145
2002,2.11  Tryggingar,Frystitogarar,308
2002,2.12 Sölukostnaður,Samtals,1854
2002,2.12 Sölukostnaður,Bátar undir 10 brl.,263
2002,2.12 Sölukostnaður,Bátar 10-200 brl.,363
2002,2.12 Sölukostnaður,Bátar > 200 brl.,467
2002,2.12 Sölukostnaður,Uppsjávarveiðiskip,113
2002,2.12 Sölukostnaður,Ísfisktogarar,438
2002,2.12 Sölukostnaður,Frystitogarar,210
2002,2.13 Löndunarkostnaður,Samtals,1963
2002,2.13 Löndunarkostnaður,Bátar undir 10 brl.,233
2002,2.13 Löndunarkostnaður,Bátar 10-200 brl.,203
2002,2.13 Löndunarkostnaður,Bátar > 200 brl.,349
2002,2.13 Löndunarkostnaður,Uppsjávarveiðiskip,200
2002,2.13 Löndunarkostnaður,Ísfisktogarar,357
2002,2.13 Löndunarkostnaður,Frystitogarar,623
2002,2.14 Kvótaleiga,Samtals,2983
2002,2.14 Kvótaleiga,Bátar undir 10 brl.,1201
2002,2.14 Kvótaleiga,Bátar 10-200 brl.,1012
2002,2.14 Kvótaleiga,Bátar > 200 brl.,162
2002,2.14 Kvótaleiga,Uppsjávarveiðiskip,93
2002,2.14 Kvótaleiga,Ísfisktogarar,176
2002,2.14 Kvótaleiga,Frystitogarar,338
2002,2.15 Önnur gjöld,Samtals,2824
2002,2.15 Önnur gjöld,Bátar undir 10 brl.,800
2002,2.15 Önnur gjöld,Bátar 10-200 brl.,333
2002,2.15 Önnur gjöld,Bátar > 200 brl.,396
2002,2.15 Önnur gjöld,Uppsjávarveiðiskip,361
2002,2.15 Önnur gjöld,Ísfisktogarar,122
2002,2.15 Önnur gjöld,Frystitogarar,811
2002,Verg hlutdeild fjármagns (EBITDA),Samtals,19428
2002,Verg hlutdeild fjármagns (EBITDA),Bátar undir 10 brl.,1140
2002,Verg hlutdeild fjármagns (EBITDA),Bátar 10-200 brl.,2521
2002,Verg hlutdeild fjármagns (EBITDA),Bátar > 200 brl.,3750
2002,Verg hlutdeild fjármagns (EBITDA),Uppsjávarveiðiskip,3060
2002,Verg hlutdeild fjármagns (EBITDA),Ísfisktogarar,2376
2002,Verg hlutdeild fjármagns (EBITDA),Frystitogarar,6581
2002,"EBITDA sem hlutfall af tekjum, %",Samtals,23.5
2002,"EBITDA sem hlutfall af tekjum, %",Bátar undir 10 brl.,13.5
2002,"EBITDA sem hlutfall af tekjum, %",Bátar 10-200 brl.,24.6
2002,"EBITDA sem hlutfall af tekjum, %",Bátar > 200 brl.,27.5
2002,"EBITDA sem hlutfall af tekjum, %",Uppsjávarveiðiskip,22.7
2002,"EBITDA sem hlutfall af tekjum, %",Ísfisktogarar,22.7
2002,"EBITDA sem hlutfall af tekjum, %",Frystitogarar,24.9
2002,Afskriftir,Samtals,11805
2002,Afskriftir,Bátar undir 10 brl.,626
2002,Afskriftir,Bátar 10-200 brl.,1154
2002,Afskriftir,Bátar > 200 brl.,2219
2002,Afskriftir,Uppsjávarveiðiskip,2735
2002,Afskriftir,Ísfisktogarar,1548
2002,Afskriftir,Frystitogarar,3523
2002,Verðbreytingarfærsla og vextir,Samtals,-5415
2002,Verðbreytingarfærsla og vextir,Bátar undir 10 brl.,432
2002,Verðbreytingarfærsla og vextir,Bátar 10-200 brl.,-289
2002,Verðbreytingarfærsla og vextir,Bátar > 200 brl.,-542
2002,Verðbreytingarfærsla og vextir,Uppsjávarveiðiskip,-1452
2002,Verðbreytingarfærsla og vextir,Ísfisktogarar,-1077
2002,Verðbreytingarfærsla og vextir,Frystitogarar,-2487
2002,Hreinn hagnaður (EBT),Samtals,13038
2002,Hreinn hagnaður (EBT),Bátar undir 10 brl.,82
2002,Hreinn hagnaður (EBT),Bátar 10-200 brl.,1656
2002,Hreinn hagnaður (EBT),Bátar > 200 brl.,2073
2002,Hreinn hagnaður (EBT),Uppsjávarveiðiskip,1777
2002,Hreinn hagnaður (EBT),Ísfisktogarar,1905
2002,Hreinn hagnaður (EBT),Frystitogarar,5545
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Samtals,15.8
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar undir 10 brl.,1.0
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar 10-200 brl.,16.1
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar > 200 brl.,15.2
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Uppsjávarveiðiskip,13.2
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Ísfisktogarar,18.2
2002,"Hreinn hagnaður sem hlutfall af tekjum, %",Frystitogarar,21.0
2002,"Árgreiðsla, 6%",Samtals,10088.0
2002,"Árgreiðsla, 6%",Bátar undir 10 brl.,824.0
2002,"Árgreiðsla, 6%",Bátar 10-200 brl.,2147.0
2002,"Árgreiðsla, 6%",Bátar > 200 brl.,778.0
2002,"Árgreiðsla, 6%",Uppsjávarveiðiskip,2418.0
2002,"Árgreiðsla, 6%",Ísfisktogarar,1150.0
2002,"Árgreiðsla, 6%",Frystitogarar,2771.0
2002,Hreinn hagnaður - árgreiðsla,Samtals,9340
2002,Hreinn hagnaður - árgreiðsla,Bátar undir 10 brl.,317
2002,Hreinn hagnaður - árgreiðsla,Bátar 10-200 brl.,373
2002,Hreinn hagnaður - árgreiðsla,Bátar > 200 brl.,2971
2002,Hreinn hagnaður - árgreiðsla,Uppsjávarveiðiskip,642
2002,Hreinn hagnaður - árgreiðsla,Ísfisktogarar,1227
2002,Hreinn hagnaður - árgreiðsla,Frystitogarar,3811
2002,"sem hlutfall af tekjum, %",Samtals,11.3
2002,"sem hlutfall af tekjum, %",Bátar undir 10 brl.,3.7
2002,"sem hlutfall af tekjum, %",Bátar 10-200 brl.,3.6
2002,"sem hlutfall af tekjum, %",Bátar > 200 brl.,21.8
2002,"sem hlutfall af tekjum, %",Uppsjávarveiðiskip,4.8
2002,"sem hlutfall af tekjum, %",Ísfisktogarar,11.7
2002,"sem hlutfall af tekjum, %",Frystitogarar,14.4
2003,1. Tekjur alls,Samtals,70492
2003,1. Tekjur alls,Bátar undir 10 brl.,6728
2003,1. Tekjur alls,Bátar 10-200 brl.,8960
2003,1. Tekjur alls,Bátar > 200 brl.,12691
2003,1. Tekjur alls,Uppsjávarveiðiskip,13249
2003,1. Tekjur alls,Ísfisktogarar,9025
2003,1. Tekjur alls,Frystitogarar,19840
2003,1.1  Útflutningstekjur,Samtals,27230
2003,1.1  Útflutningstekjur,Bátar undir 10 brl.,170
2003,1.1  Útflutningstekjur,Bátar 10-200 brl.,502
2003,1.1  Útflutningstekjur,Bátar > 200 brl.,2603
2003,1.1  Útflutningstekjur,Uppsjávarveiðiskip,3321
2003,1.1  Útflutningstekjur,Ísfisktogarar,1401
2003,1.1  Útflutningstekjur,Frystitogarar,19232
2003,1.2  Selt hráefni,Samtals,41392
2003,1.2  Selt hráefni,Bátar undir 10 brl.,5892
2003,1.2  Selt hráefni,Bátar 10-200 brl.,8081
2003,1.2  Selt hráefni,Bátar > 200 brl.,9977
2003,1.2  Selt hráefni,Uppsjávarveiðiskip,9479
2003,1.2  Selt hráefni,Ísfisktogarar,7486
2003,1.2  Selt hráefni,Frystitogarar,478
2003,1.3  Aðrar tekjur,Samtals,1870
2003,1.3  Aðrar tekjur,Bátar undir 10 brl.,666
2003,1.3  Aðrar tekjur,Bátar 10-200 brl.,377
2003,1.3  Aðrar tekjur,Bátar > 200 brl.,111
2003,1.3  Aðrar tekjur,Uppsjávarveiðiskip,448
2003,1.3  Aðrar tekjur,Ísfisktogarar,138
2003,1.3  Aðrar tekjur,Frystitogarar,129
2003,2  Gjöld alls,Samtals,55455
2003,2  Gjöld alls,Bátar undir 10 brl.,5940
2003,2  Gjöld alls,Bátar 10-200 brl.,6810
2003,2  Gjöld alls,Bátar > 200 brl.,9399
2003,2  Gjöld alls,Uppsjávarveiðiskip,10734
2003,2  Gjöld alls,Ísfisktogarar,7219
2003,2  Gjöld alls,Frystitogarar,15352
2003,2.1  Aflahlutir,Samtals,19227
2003,2.1  Aflahlutir,Bátar undir 10 brl.,1191
2003,2.1  Aflahlutir,Bátar 10-200 brl.,2721
2003,2.1  Aflahlutir,Bátar > 200 brl.,3297
2003,2.1  Aflahlutir,Uppsjávarveiðiskip,3510
2003,2.1  Aflahlutir,Ísfisktogarar,2357
2003,2.1  Aflahlutir,Frystitogarar,6150
2003,2.2  Önnur laun,Samtals,6128
2003,2.2  Önnur laun,Bátar undir 10 brl.,1462
2003,2.2  Önnur laun,Bátar 10-200 brl.,498
2003,2.2  Önnur laun,Bátar > 200 brl.,1509
2003,2.2  Önnur laun,Uppsjávarveiðiskip,727
2003,2.2  Önnur laun,Ísfisktogarar,602
2003,2.2  Önnur laun,Frystitogarar,1329
2003,2.3  Launatengd gjöld,Samtals,2243
2003,2.3  Launatengd gjöld,Bátar undir 10 brl.,234
2003,2.3  Launatengd gjöld,Bátar 10-200 brl.,284
2003,2.3  Launatengd gjöld,Bátar > 200 brl.,425
2003,2.3  Launatengd gjöld,Uppsjávarveiðiskip,375
2003,2.3  Launatengd gjöld,Ísfisktogarar,262
2003,2.3  Launatengd gjöld,Frystitogarar,662
2003,2.4  Olíur,Samtals,6140
2003,2.4  Olíur,Bátar undir 10 brl.,162
2003,2.4  Olíur,Bátar 10-200 brl.,578
2003,2.4  Olíur,Bátar > 200 brl.,680
2003,2.4  Olíur,Uppsjávarveiðiskip,1741
2003,2.4  Olíur,Ísfisktogarar,1079
2003,2.4  Olíur,Frystitogarar,1900
2003,2.5  Veiðarfæri,Samtals,3279
2003,2.5  Veiðarfæri,Bátar undir 10 brl.,96
2003,2.5  Veiðarfæri,Bátar 10-200 brl.,368
2003,2.5  Veiðarfæri,Bátar > 200 brl.,687
2003,2.5  Veiðarfæri,Uppsjávarveiðiskip,981
2003,2.5  Veiðarfæri,Ísfisktogarar,452
2003,2.5  Veiðarfæri,Frystitogarar,694
2003,2.6  Viðhald,Samtals,5135
2003,2.6  Viðhald,Bátar undir 10 brl.,655
2003,2.6  Viðhald,Bátar 10-200 brl.,629
2003,2.6  Viðhald,Bátar > 200 brl.,896
2003,2.6  Viðhald,Uppsjávarveiðiskip,934
2003,2.6  Viðhald,Ísfisktogarar,726
2003,2.6  Viðhald,Frystitogarar,1294
2003,2.7  Frystikostn. umbúðir og fl.,Samtals,565
2003,2.7  Frystikostn. umbúðir og fl.,Bátar undir 10 brl.,.
2003,2.7  Frystikostn. umbúðir og fl.,Bátar 10-200 brl.,.
2003,2.7  Frystikostn. umbúðir og fl.,Bátar > 200 brl.,.
2003,2.7  Frystikostn. umbúðir og fl.,Uppsjávarveiðiskip,.
2003,2.7  Frystikostn. umbúðir og fl.,Ísfisktogarar,.
2003,2.7  Frystikostn. umbúðir og fl.,Frystitogarar,565
2003,2.8  Flutningskostnaður,Samtals,392
2003,2.8  Flutningskostnaður,Bátar undir 10 brl.,201
2003,2.8  Flutningskostnaður,Bátar 10-200 brl.,45
2003,2.8  Flutningskostnaður,Bátar > 200 brl.,41
2003,2.8  Flutningskostnaður,Uppsjávarveiðiskip,33
2003,2.8  Flutningskostnaður,Ísfisktogarar,34
2003,2.8  Flutningskostnaður,Frystitogarar,38
2003,2.9  Laun v/skrifstofu,Samtals,837
2003,2.9  Laun v/skrifstofu,Bátar undir 10 brl.,2
2003,2.9  Laun v/skrifstofu,Bátar 10-200 brl.,193
2003,2.9  Laun v/skrifstofu,Bátar > 200 brl.,196
2003,2.9  Laun v/skrifstofu,Uppsjávarveiðiskip,154
2003,2.9  Laun v/skrifstofu,Ísfisktogarar,108
2003,2.9  Laun v/skrifstofu,Frystitogarar,183
2003,2.10 Skrifst.kostnaður,Samtals,1277
2003,2.10 Skrifst.kostnaður,Bátar undir 10 brl.,129
2003,2.10 Skrifst.kostnaður,Bátar 10-200 brl.,178
2003,2.10 Skrifst.kostnaður,Bátar > 200 brl.,242
2003,2.10 Skrifst.kostnaður,Uppsjávarveiðiskip,302
2003,2.10 Skrifst.kostnaður,Ísfisktogarar,162
2003,2.10 Skrifst.kostnaður,Frystitogarar,264
2003,2.11  Tryggingar,Samtals,1495
2003,2.11  Tryggingar,Bátar undir 10 brl.,268
2003,2.11  Tryggingar,Bátar 10-200 brl.,176
2003,2.11  Tryggingar,Bátar > 200 brl.,211
2003,2.11  Tryggingar,Uppsjávarveiðiskip,213
2003,2.11  Tryggingar,Ísfisktogarar,191
2003,2.11  Tryggingar,Frystitogarar,437
2003,2.12 Sölukostnaður,Samtals,1801
2003,2.12 Sölukostnaður,Bátar undir 10 brl.,191
2003,2.12 Sölukostnaður,Bátar 10-200 brl.,439
2003,2.12 Sölukostnaður,Bátar > 200 brl.,501
2003,2.12 Sölukostnaður,Uppsjávarveiðiskip,131
2003,2.12 Sölukostnaður,Ísfisktogarar,401
2003,2.12 Sölukostnaður,Frystitogarar,137
2003,2.13 Löndunarkostnaður,Samtals,2308
2003,2.13 Löndunarkostnaður,Bátar undir 10 brl.,184
2003,2.13 Löndunarkostnaður,Bátar 10-200 brl.,279
2003,2.13 Löndunarkostnaður,Bátar > 200 brl.,414
2003,2.13 Löndunarkostnaður,Uppsjávarveiðiskip,319
2003,2.13 Löndunarkostnaður,Ísfisktogarar,465
2003,2.13 Löndunarkostnaður,Frystitogarar,647
2003,2.14 Kvótaleiga,Samtals,1263
2003,2.14 Kvótaleiga,Bátar undir 10 brl.,240
2003,2.14 Kvótaleiga,Bátar 10-200 brl.,98
2003,2.14 Kvótaleiga,Bátar > 200 brl.,146
2003,2.14 Kvótaleiga,Uppsjávarveiðiskip,306
2003,2.14 Kvótaleiga,Ísfisktogarar,200
2003,2.14 Kvótaleiga,Frystitogarar,273
2003,2.15 Önnur gjöld,Samtals,3367
2003,2.15 Önnur gjöld,Bátar undir 10 brl.,924
2003,2.15 Önnur gjöld,Bátar 10-200 brl.,324
2003,2.15 Önnur gjöld,Bátar > 200 brl.,154
2003,2.15 Önnur gjöld,Uppsjávarveiðiskip,1007
2003,2.15 Önnur gjöld,Ísfisktogarar,179
2003,2.15 Önnur gjöld,Frystitogarar,779
2003,Verg hlutdeild fjármagns (EBITDA),Samtals,15037
2003,Verg hlutdeild fjármagns (EBITDA),Bátar undir 10 brl.,788
2003,Verg hlutdeild fjármagns (EBITDA),Bátar 10-200 brl.,2150
2003,Verg hlutdeild fjármagns (EBITDA),Bátar > 200 brl.,3292
2003,Verg hlutdeild fjármagns (EBITDA),Uppsjávarveiðiskip,2515
2003,Verg hlutdeild fjármagns (EBITDA),Ísfisktogarar,1805
2003,Verg hlutdeild fjármagns (EBITDA),Frystitogarar,4487
2003,"EBITDA sem hlutfall af tekjum, %",Samtals,21.3
2003,"EBITDA sem hlutfall af tekjum, %",Bátar undir 10 brl.,11.7
2003,"EBITDA sem hlutfall af tekjum, %",Bátar 10-200 brl.,24.0
2003,"EBITDA sem hlutfall af tekjum, %",Bátar > 200 brl.,25.9
2003,"EBITDA sem hlutfall af tekjum, %",Uppsjávarveiðiskip,19.0
2003,"EBITDA sem hlutfall af tekjum, %",Ísfisktogarar,20.0
2003,"EBITDA sem hlutfall af tekjum, %",Frystitogarar,22.6
2003,Afskriftir,Samtals,12409
2003,Afskriftir,Bátar undir 10 brl.,1216
2003,Afskriftir,Bátar 10-200 brl.,1530
2003,Afskriftir,Bátar > 200 brl.,2286
2003,Afskriftir,Uppsjávarveiðiskip,2623
2003,Afskriftir,Ísfisktogarar,1571
2003,Afskriftir,Frystitogarar,3184
2003,Verðbreytingarfærsla og vextir,Samtals,158
2003,Verðbreytingarfærsla og vextir,Bátar undir 10 brl.,482
2003,Verðbreytingarfærsla og vextir,Bátar 10-200 brl.,-7
2003,Verðbreytingarfærsla og vextir,Bátar > 200 brl.,263
2003,Verðbreytingarfærsla og vextir,Uppsjávarveiðiskip,186
2003,Verðbreytingarfærsla og vextir,Ísfisktogarar,-217
2003,Verðbreytingarfærsla og vextir,Frystitogarar,-548
2003,Hreinn hagnaður (EBT),Samtals,2470
2003,Hreinn hagnaður (EBT),Bátar undir 10 brl.,-910
2003,Hreinn hagnaður (EBT),Bátar 10-200 brl.,627
2003,Hreinn hagnaður (EBT),Bátar > 200 brl.,743
2003,Hreinn hagnaður (EBT),Uppsjávarveiðiskip,-294
2003,Hreinn hagnaður (EBT),Ísfisktogarar,452
2003,Hreinn hagnaður (EBT),Frystitogarar,1852
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Samtals,3.5
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar undir 10 brl.,-13.5
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar 10-200 brl.,7.0
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar > 200 brl.,5.9
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Uppsjávarveiðiskip,-2.2
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Ísfisktogarar,5.0
2003,"Hreinn hagnaður sem hlutfall af tekjum, %",Frystitogarar,9.3
2003,"Árgreiðsla, 6%",Samtals,8812.0
2003,"Árgreiðsla, 6%",Bátar undir 10 brl.,695.0
2003,"Árgreiðsla, 6%",Bátar 10-200 brl.,1074.0
2003,"Árgreiðsla, 6%",Bátar > 200 brl.,1367.0
2003,"Árgreiðsla, 6%",Uppsjávarveiðiskip,2492.0
2003,"Árgreiðsla, 6%",Ísfisktogarar,811.0
2003,"Árgreiðsla, 6%",Frystitogarar,2373.0
2003,Hreinn hagnaður - árgreiðsla,Samtals,6225
2003,Hreinn hagnaður - árgreiðsla,Bátar undir 10 brl.,92
2003,Hreinn hagnaður - árgreiðsla,Bátar 10-200 brl.,1076
2003,Hreinn hagnaður - árgreiðsla,Bátar > 200 brl.,1925
2003,Hreinn hagnaður - árgreiðsla,Uppsjávarveiðiskip,23
2003,Hreinn hagnaður - árgreiðsla,Ísfisktogarar,994
2003,Hreinn hagnaður - árgreiðsla,Frystitogarar,2114
2003,"sem hlutfall af tekjum, %",Samtals,8.8
2003,"sem hlutfall af tekjum, %",Bátar undir 10 brl.,1.4
2003,"sem hlutfall af tekjum, %",Bátar 10-200 brl.,12.0
2003,"sem hlutfall af tekjum, %",Bátar > 200 brl.,15.2
2003,"sem hlutfall af tekjum, %",Uppsjávarveiðiskip,0.2
2003,"sem hlutfall af tekjum, %",Ísfisktogarar,11.0
2003,"sem hlutfall af tekjum, %",Frystitogarar,10.7
2004,1. Tekjur alls,Samtals,71481
2004,1. Tekjur alls,Bátar undir 10 brl.,5818
2004,1. Tekjur alls,Bátar 10-200 brl.,10106
2004,1. Tekjur alls,Bátar > 200 brl.,13809
2004,1. Tekjur alls,Uppsjávarveiðiskip,7633
2004,1. Tekjur alls,Ísfisktogarar,10699
2004,1. Tekjur alls,Frystitogarar,23415
2004,1.1  Útflutningstekjur,Samtals,30326
2004,1.1  Útflutningstekjur,Bátar undir 10 brl.,361
2004,1.1  Útflutningstekjur,Bátar 10-200 brl.,1308
2004,1.1  Útflutningstekjur,Bátar > 200 brl.,3600
2004,1.1  Útflutningstekjur,Uppsjávarveiðiskip,337
2004,1.1  Útflutningstekjur,Ísfisktogarar,2924
2004,1.1  Útflutningstekjur,Frystitogarar,21796
2004,1.2  Selt hráefni,Samtals,38876
2004,1.2  Selt hráefni,Bátar undir 10 brl.,5012
2004,1.2  Selt hráefni,Bátar 10-200 brl.,8285
2004,1.2  Selt hráefni,Bátar > 200 brl.,9861
2004,1.2  Selt hráefni,Uppsjávarveiðiskip,7183
2004,1.2  Selt hráefni,Ísfisktogarar,7466
2004,1.2  Selt hráefni,Frystitogarar,1070
2004,1.3  Aðrar tekjur,Samtals,2279
2004,1.3  Aðrar tekjur,Bátar undir 10 brl.,445
2004,1.3  Aðrar tekjur,Bátar 10-200 brl.,513
2004,1.3  Aðrar tekjur,Bátar > 200 brl.,348
2004,1.3  Aðrar tekjur,Uppsjávarveiðiskip,114
2004,1.3  Aðrar tekjur,Ísfisktogarar,309
2004,1.3  Aðrar tekjur,Frystitogarar,549
2004,2  Gjöld alls,Samtals,59227
2004,2  Gjöld alls,Bátar undir 10 brl.,5354
2004,2  Gjöld alls,Bátar 10-200 brl.,7921
2004,2  Gjöld alls,Bátar > 200 brl.,11289
2004,2  Gjöld alls,Uppsjávarveiðiskip,6348
2004,2  Gjöld alls,Ísfisktogarar,9369
2004,2  Gjöld alls,Frystitogarar,18945
2004,2.1  Aflahlutir,Samtals,19328
2004,2.1  Aflahlutir,Bátar undir 10 brl.,1044
2004,2.1  Aflahlutir,Bátar 10-200 brl.,2992
2004,2.1  Aflahlutir,Bátar > 200 brl.,3469
2004,2.1  Aflahlutir,Uppsjávarveiðiskip,2040
2004,2.1  Aflahlutir,Ísfisktogarar,2676
2004,2.1  Aflahlutir,Frystitogarar,7108
2004,2.2  Önnur laun,Samtals,5828
2004,2.2  Önnur laun,Bátar undir 10 brl.,1273
2004,2.2  Önnur laun,Bátar 10-200 brl.,447
2004,2.2  Önnur laun,Bátar > 200 brl.,1510
2004,2.2  Önnur laun,Uppsjávarveiðiskip,434
2004,2.2  Önnur laun,Ísfisktogarar,1150
2004,2.2  Önnur laun,Frystitogarar,1013
2004,2.3  Launatengd gjöld,Samtals,2219
2004,2.3  Launatengd gjöld,Bátar undir 10 brl.,204
2004,2.3  Launatengd gjöld,Bátar 10-200 brl.,303
2004,2.3  Launatengd gjöld,Bátar > 200 brl.,441
2004,2.3  Launatengd gjöld,Uppsjávarveiðiskip,219
2004,2.3  Launatengd gjöld,Ísfisktogarar,339
2004,2.3  Launatengd gjöld,Frystitogarar,714
2004,2.4  Olíur,Samtals,6511
2004,2.4  Olíur,Bátar undir 10 brl.,138
2004,2.4  Olíur,Bátar 10-200 brl.,439
2004,2.4  Olíur,Bátar > 200 brl.,861
2004,2.4  Olíur,Uppsjávarveiðiskip,1004
2004,2.4  Olíur,Ísfisktogarar,1214
2004,2.4  Olíur,Frystitogarar,2855
2004,2.5  Veiðarfæri,Samtals,3000
2004,2.5  Veiðarfæri,Bátar undir 10 brl.,132
2004,2.5  Veiðarfæri,Bátar 10-200 brl.,229
2004,2.5  Veiðarfæri,Bátar > 200 brl.,623
2004,2.5  Veiðarfæri,Uppsjávarveiðiskip,614
2004,2.5  Veiðarfæri,Ísfisktogarar,523
2004,2.5  Veiðarfæri,Frystitogarar,878
2004,2.6  Viðhald,Samtals,5022
2004,2.6  Viðhald,Bátar undir 10 brl.,544
2004,2.6  Viðhald,Bátar 10-200 brl.,594
2004,2.6  Viðhald,Bátar > 200 brl.,1034
2004,2.6  Viðhald,Uppsjávarveiðiskip,598
2004,2.6  Viðhald,Ísfisktogarar,813
2004,2.6  Viðhald,Frystitogarar,1438
2004,2.7  Frystikostn. umbúðir og fl.,Samtals,527
2004,2.7  Frystikostn. umbúðir og fl.,Bátar undir 10 brl.,.
2004,2.7  Frystikostn. umbúðir og fl.,Bátar 10-200 brl.,.
2004,2.7  Frystikostn. umbúðir og fl.,Bátar > 200 brl.,.
2004,2.7  Frystikostn. umbúðir og fl.,Uppsjávarveiðiskip,.
2004,2.7  Frystikostn. umbúðir og fl.,Ísfisktogarar,.
2004,2.7  Frystikostn. umbúðir og fl.,Frystitogarar,527
