Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
1997,2.9  Laun v/skrifstofu,Uppsjávarveiðiskip,100
1997,2.9  Laun v/skrifstofu,Ísfisktogarar,50
1997,2.9  Laun v/skrifstofu,Frystitogarar,142
1997,2.10 Skrifst.kostnaður,Samtals,1408
1997,2.10 Skrifst.kostnaður,Bátar undir 10 brl.,134
1997,2.10 Skrifst.kostnaður,Bátar 10-200 brl.,422
1997,2.10 Skrifst.kostnaður,Bátar > 200 brl.,87
1997,2.10 Skrifst.kostnaður,Uppsjávarveiðiskip,239
1997,2.10 Skrifst.kostnaður,Ísfisktogarar,162
1997,2.10 Skrifst.kostnaður,Frystitogarar,365
1997,2.11  Tryggingar,Samtals,969
1997,2.11  Tryggingar,Bátar undir 10 brl.,101
1997,2.11  Tryggingar,Bátar 10-200 brl.,272
1997,2.11  Tryggingar,Bátar > 200 brl.,28
1997,2.11  Tryggingar,Uppsjávarveiðiskip,140
1997,2.11  Tryggingar,Ísfisktogarar,107
1997,2.11  Tryggingar,Frystitogarar,321
1997,2.12 Sölukostnaður,Samtals,2399
1997,2.12 Sölukostnaður,Bátar undir 10 brl.,111
1997,2.12 Sölukostnaður,Bátar 10-200 brl.,711
1997,2.12 Sölukostnaður,Bátar > 200 brl.,122
1997,2.12 Sölukostnaður,Uppsjávarveiðiskip,11
1997,2.12 Sölukostnaður,Ísfisktogarar,484
1997,2.12 Sölukostnaður,Frystitogarar,962
1997,2.13 Löndunarkostnaður,Samtals,1167
1997,2.13 Löndunarkostnaður,Bátar undir 10 brl.,77
1997,2.13 Löndunarkostnaður,Bátar 10-200 brl.,260
1997,2.13 Löndunarkostnaður,Bátar > 200 brl.,39
1997,2.13 Löndunarkostnaður,Uppsjávarveiðiskip,155
1997,2.13 Löndunarkostnaður,Ísfisktogarar,286
1997,2.13 Löndunarkostnaður,Frystitogarar,350
1997,2.14 Kvótaleiga,Samtals,1282
1997,2.14 Kvótaleiga,Bátar undir 10 brl.,41
1997,2.14 Kvótaleiga,Bátar 10-200 brl.,709
1997,2.14 Kvótaleiga,Bátar > 200 brl.,42
1997,2.14 Kvótaleiga,Uppsjávarveiðiskip,127
1997,2.14 Kvótaleiga,Ísfisktogarar,169
1997,2.14 Kvótaleiga,Frystitogarar,194
1997,2.15 Önnur gjöld,Samtals,4430
1997,2.15 Önnur gjöld,Bátar undir 10 brl.,488
1997,2.15 Önnur gjöld,Bátar 10-200 brl.,549
1997,2.15 Önnur gjöld,Bátar > 200 brl.,189
1997,2.15 Önnur gjöld,Uppsjávarveiðiskip,481
1997,2.15 Önnur gjöld,Ísfisktogarar,283
1997,2.15 Önnur gjöld,Frystitogarar,2440
1997,Verg hlutdeild fjármagns (EBITDA),Samtals,10129
1997,Verg hlutdeild fjármagns (EBITDA),Bátar undir 10 brl.,1245
1997,Verg hlutdeild fjármagns (EBITDA),Bátar 10-200 brl.,1386
1997,Verg hlutdeild fjármagns (EBITDA),Bátar > 200 brl.,397
1997,Verg hlutdeild fjármagns (EBITDA),Uppsjávarveiðiskip,2803
1997,Verg hlutdeild fjármagns (EBITDA),Ísfisktogarar,1014
1997,Verg hlutdeild fjármagns (EBITDA),Frystitogarar,3285
1997,"EBITDA sem hlutfall af tekjum, %",Samtals,17.0
1997,"EBITDA sem hlutfall af tekjum, %",Bátar undir 10 brl.,24.2
1997,"EBITDA sem hlutfall af tekjum, %",Bátar 10-200 brl.,10.2
1997,"EBITDA sem hlutfall af tekjum, %",Bátar > 200 brl.,14.1
1997,"EBITDA sem hlutfall af tekjum, %",Uppsjávarveiðiskip,25.9
1997,"EBITDA sem hlutfall af tekjum, %",Ísfisktogarar,12.7
1997,"EBITDA sem hlutfall af tekjum, %",Frystitogarar,16.9
1997,Afskriftir,Samtals,8053
1997,Afskriftir,Bátar undir 10 brl.,579
1997,Afskriftir,Bátar 10-200 brl.,2084
1997,Afskriftir,Bátar > 200 brl.,451
1997,Afskriftir,Uppsjávarveiðiskip,1430
1997,Afskriftir,Ísfisktogarar,1004
1997,Afskriftir,Frystitogarar,2506
1997,Verðbreytingarfærsla og vextir,Samtals,3117
1997,Verðbreytingarfærsla og vextir,Bátar undir 10 brl.,346
1997,Verðbreytingarfærsla og vextir,Bátar 10-200 brl.,727
1997,Verðbreytingarfærsla og vextir,Bátar > 200 brl.,132
1997,Verðbreytingarfærsla og vextir,Uppsjávarveiðiskip,497
1997,Verðbreytingarfærsla og vextir,Ísfisktogarar,408
1997,Verðbreytingarfærsla og vextir,Frystitogarar,1008
1997,Hreinn hagnaður (EBT),Samtals,-1041
1997,Hreinn hagnaður (EBT),Bátar undir 10 brl.,320
1997,Hreinn hagnaður (EBT),Bátar 10-200 brl.,-1425
1997,Hreinn hagnaður (EBT),Bátar > 200 brl.,-186
1997,Hreinn hagnaður (EBT),Uppsjávarveiðiskip,877
1997,Hreinn hagnaður (EBT),Ísfisktogarar,-398
1997,Hreinn hagnaður (EBT),Frystitogarar,-228
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Samtals,-1.7
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar undir 10 brl.,6.2
