Species,Port,Year,Quantity,Value
Capelin,Bakkafjörður,1995,0,0
Capelin,Bakkafjörður,1996,0,0
Capelin,Bakkafjörður,1997,0,0
Capelin,Bakkafjörður,1998,0,0
Capelin,Bakkafjörður,1999,0,0
Capelin,Bakkafjörður,2000,0,0
Capelin,Bakkafjörður,2001,0,0
Capelin,Bakkafjörður,2002,0,0
Capelin,Bakkafjörður,2003,0,0
Capelin,Bakkafjörður,2004,0,0
Capelin,Bakkafjörður,2005,0,0
Capelin,Bakkafjörður,2006,0,0
Capelin,Bakkafjörður,2007,0,0
Capelin,Bakkafjörður,2008,0,0
Capelin,Bakkafjörður,2009,0,0
Capelin,Bakkafjörður,2010,0,0
Capelin,Bakkafjörður,2011,0,0
Capelin,Bakkafjörður,2012,0,0
Capelin,Bakkafjörður,2013,0,0
Capelin,Bakkafjörður,2014,0,0
Capelin,Bakkafjörður,2015,0,0
Capelin,Bakkafjörður,2016,0,0
Capelin,Bakkafjörður,2017,0,0
Capelin,Bakkafjörður,2018,0,0
Capelin,Bakkafjörður,2019,0,0
Capelin,Bakkafjörður,2020,0,0
Capelin,Bakkafjörður,2021,0,0
Capelin,Bakkafjörður,2022,0,0
Capelin,Bakkafjörður,2023,0,0
Capelin,Bakkafjörður,2024,0,0
Capelin,Blönduós,1982,0,0
Capelin,Blönduós,1983,0,0
Capelin,Blönduós,1984,0,0
Capelin,Blönduós,1985,0,0
Capelin,Blönduós,1986,0,0
Capelin,Blönduós,1987,0,0
Capelin,Blönduós,1988,0,0
Capelin,Blönduós,1989,0,0
Capelin,Blönduós,1990,0,0
Capelin,Blönduós,1991,0,0
Capelin,Blönduós,1992,0,0
Capelin,Blönduós,1993,0,0
Capelin,Blönduós,1994,0,0
Capelin,Blönduós,1995,0,0
Capelin,Blönduós,1996,0,0
Capelin,Blönduós,1997,0,0
Capelin,Blönduós,1998,0,0
Capelin,Blönduós,1999,0,0
Capelin,Blönduós,2000,0,0
Capelin,Blönduós,2001,0,0
Capelin,Blönduós,2002,0,0
Capelin,Blönduós,2003,0,0
Capelin,Blönduós,2004,0,0
Capelin,Blönduós,2005,0,0
Capelin,Blönduós,2006,0,0
Capelin,Blönduós,2007,0,0
Capelin,Blönduós,2008,0,0
Capelin,Blönduós,2009,0,0
Capelin,Blönduós,2010,0,0
Capelin,Blönduós,2011,0,0
Capelin,Blönduós,2012,0,0
Capelin,Blönduós,2013,0,0
Capelin,Blönduós,2014,0,0
Capelin,Blönduós,2015,0,0
Capelin,Blönduós,2016,0,0
Capelin,Blönduós,2017,0,0
Capelin,Blönduós,2018,0,0
Capelin,Blönduós,2019,0,0
Capelin,Blönduós,2020,0,0
Capelin,Blönduós,2021,0,0
Capelin,Blönduós,2022,0,0
Capelin,Blönduós,2023,0,0
Capelin,Blönduós,2024,0,0
Capelin,Bolungarvík,1982,0,0
Capelin,Bolungarvík,1983,2986,5188
Capelin,Bolungarvík,1984,27464,31157
Capelin,Bolungarvík,1985,28540,54919
Capelin,Bolungarvík,1986,29892,53379
Capelin,Bolungarvík,1987,22923,46014
Capelin,Bolungarvík,1988,20921,71238
Capelin,Bolungarvík,1989,13656,54328
Capelin,Bolungarvík,1990,12298,45626
Capelin,Bolungarvík,1991,13388,53626
Capelin,Bolungarvík,1992,17256,63851
Capelin,Bolungarvík,1993,17419,75963
Capelin,Bolungarvík,1994,26152,89999
Capelin,Bolungarvík,1995,22322,97082
Capelin,Bolungarvík,1996,30925,146299
Capelin,Bolungarvík,1997,24465,138410
Capelin,Bolungarvík,1998,8594,56756
Capelin,Bolungarvík,1999,11451,43765
Capelin,Bolungarvík,2000,23745,95199
Capelin,Bolungarvík,2001,27434,154424
Capelin,Bolungarvík,2002,26179,192255
Capelin,Bolungarvík,2003,8012,55450
Capelin,Bolungarvík,2004,2731,21454
Capelin,Bolungarvík,2005,2534,12826
Capelin,Bolungarvík,2006,0,0
Capelin,Bolungarvík,2007,0,0
Capelin,Bolungarvík,2008,0,0
Capelin,Bolungarvík,2009,0,0
Capelin,Bolungarvík,2010,0,0
Capelin,Bolungarvík,2011,0,0
Capelin,Bolungarvík,2012,0,0
Capelin,Bolungarvík,2013,0,0
Capelin,Bolungarvík,2014,0,0
Capelin,Bolungarvík,2015,0,0
Capelin,Bolungarvík,2016,0,0
Capelin,Bolungarvík,2017,0,0
Capelin,Bolungarvík,2018,0,0
Capelin,Bolungarvík,2019,0,0
Capelin,Bolungarvík,2020,0,0
Capelin,Bolungarvík,2021,0,0
Capelin,Bolungarvík,2022,0,0
Capelin,Bolungarvík,2023,0,0
Capelin,Bolungarvík,2024,0,0
Capelin,Borgarfjörður Eystri,1982,0,0
Capelin,Borgarfjörður Eystri,1983,0,0
Capelin,Borgarfjörður Eystri,1984,0,0
Capelin,Borgarfjörður Eystri,1985,0,0
Capelin,Borgarfjörður Eystri,1986,0,0
Capelin,Borgarfjörður Eystri,1987,0,0
Capelin,Borgarfjörður Eystri,1988,0,0
Capelin,Borgarfjörður Eystri,1989,0,0
Capelin,Borgarfjörður Eystri,1990,0,0
Capelin,Borgarfjörður Eystri,1991,0,0
Capelin,Borgarfjörður Eystri,1992,0,0
Capelin,Borgarfjörður Eystri,1993,0,0
Capelin,Borgarfjörður Eystri,1994,0,0
Capelin,Borgarfjörður Eystri,1995,0,0
Capelin,Borgarfjörður Eystri,1996,0,0
Capelin,Borgarfjörður Eystri,1997,0,0
Capelin,Borgarfjörður Eystri,1998,0,0
Capelin,Borgarfjörður Eystri,1999,0,0
Capelin,Borgarfjörður Eystri,2000,0,0
Capelin,Borgarfjörður Eystri,2001,0,0
Capelin,Borgarfjörður Eystri,2002,0,0
Capelin,Borgarfjörður Eystri,2003,0,0
Capelin,Borgarfjörður Eystri,2004,0,0
Capelin,Borgarfjörður Eystri,2005,0,0
Capelin,Borgarfjörður Eystri,2006,0,0
Capelin,Borgarfjörður Eystri,2007,0,0
Capelin,Borgarfjörður Eystri,2008,0,0
Capelin,Borgarfjörður Eystri,2009,0,0
Capelin,Borgarfjörður Eystri,2010,0,0
Capelin,Borgarfjörður Eystri,2011,0,0
Capelin,Borgarfjörður Eystri,2012,0,0
Capelin,Borgarfjörður Eystri,2013,0,0
Capelin,Borgarfjörður Eystri,2014,0,0
Capelin,Borgarfjörður Eystri,2015,0,0
Capelin,Borgarfjörður Eystri,2016,0,0
Capelin,Borgarfjörður Eystri,2017,0,0
Capelin,Borgarfjörður Eystri,2018,0,0
Capelin,Borgarfjörður Eystri,2019,0,0
Capelin,Borgarfjörður Eystri,2020,0,0
Capelin,Borgarfjörður Eystri,2021,0,0
Capelin,Borgarfjörður Eystri,2022,0,0
Capelin,Borgarfjörður Eystri,2023,0,0
Capelin,Borgarfjörður Eystri,2024,0,0
Capelin,Borgarnes,1982,0,0
Capelin,Borgarnes,1983,0,0
Capelin,Borgarnes,1984,0,0
Capelin,Borgarnes,1985,0,0
Capelin,Borgarnes,1986,0,0
Capelin,Borgarnes,1987,0,0
Capelin,Borgarnes,1988,0,0
Capelin,Borgarnes,1989,0,0
Capelin,Borgarnes,1990,0,0
Capelin,Borgarnes,1991,0,0
Capelin,Borgarnes,1992,0,0
Capelin,Borgarnes,1993,0,0
Capelin,Borgarnes,1994,0,0
Capelin,Borgarnes,1995,0,0
Capelin,Borgarnes,1996,0,0
Capelin,Borgarnes,1997,0,0
Capelin,Borgarnes,1998,0,0
Capelin,Borgarnes,1999,0,0
Capelin,Borgarnes,2000,0,0
Capelin,Borgarnes,2001,0,0
Capelin,Borgarnes,2002,0,0
Capelin,Borgarnes,2003,0,0
Capelin,Borgarnes,2004,0,0
Capelin,Borgarnes,2005,0,0
Capelin,Borgarnes,2006,0,0
Capelin,Borgarnes,2007,0,0
Capelin,Borgarnes,2008,0,0
Capelin,Borgarnes,2009,0,0
Capelin,Borgarnes,2010,0,0
Capelin,Borgarnes,2011,0,0
Capelin,Borgarnes,2012,0,0
Capelin,Borgarnes,2013,0,0
Capelin,Borgarnes,2014,0,0
Capelin,Borgarnes,2015,0,0
Capelin,Borgarnes,2016,0,0
Capelin,Borgarnes,2017,0,0
Capelin,Borgarnes,2018,0,0
Capelin,Borgarnes,2019,0,0
Capelin,Borgarnes,2020,0,0
Capelin,Borgarnes,2021,0,0
Capelin,Borgarnes,2022,0,0
Capelin,Borgarnes,2023,0,0
Capelin,Borgarnes,2024,0,0
Capelin,Breiðdalsvík,1982,0,0
Capelin,Breiðdalsvík,1983,0,0
Capelin,Breiðdalsvík,1984,0,0
Capelin,Breiðdalsvík,1985,0,0
Capelin,Breiðdalsvík,1986,0,0
Capelin,Breiðdalsvík,1987,0,0
